scope	prefix	project	status	comments
community	0x	CoI: Tales of the Deep Gardens (Lava)	OK	Conflict with Vail_Woodshadow
community	1X	Aeon, miscellany (Lava)	OK	
community	9X	CoI: Innershade (Lava)	OK	
community	B0	Projet NeoBG	OK	
community	BA	World Transition Project	OK	Global TIS file naming registration for Baldur's Gate
community	BP	The Big Picture	OK	
community	CM	Chosen of Mystra community prefix	OK	
community	COM	Chosen of Mystra community prefix	OK	
community	DC	The Dragon's Call	OK	Prefix for areas
community	DS	Dark Side of the Sword Coast	Conflict	conflicts with Daz (personal)
community	E3	Fade Romance	OK	
community	FA	Fragile Alliance	OK	
community	FW	BGTutu file naming prefix	OK, protected	ARE and WED
community	G1	Gahesh NPC (Lava)	OK	
community	IA	World Transition Project	OK	Global TIS file naming registration for Icewind Dale
community	IP	Ilmatar Portrait Pack (Lava)	OK	
community	ISNF	CoI: I Shall Never Forget (Lava)	OK	Conflicts with Xiphias
community	JZ	Jerry Zinger Mod	OK	
community	L3	Petsy (Lava)	OK	
community	L7	Tsuki BG2 NPC (Lava)	OK	
community	Lav	LaViconia	Conflict	
community	LD#	Swylif NPC (Lava)	Conflict	
community	LSX	Eilistraees Song (Lava)	Conflict	
community	MCA	Modron Cube Adventure	OK	
community	NS	Saerileth mod	Conflict	Conflict with NemoSum (personal prefix list)
community	PA	World Transition Project	OK	Global TIS file naming registration for Planescape Torment
community	RTW	Return to Windspear	OK	
community	TB	Chosen of Mystra community prefix	OK	conflicts with the bigg
community	TFS	Tales of a Fallen Star	OK	
community	TK	Termlem's Keep Mod	Conflict	Conflict with Kai (personal prefix list)
community	TPT	The Plot Thickens-mod	Conflict	Conflict with Stone Wolf (personal prefix list)
community	U!	Unfinished Business	OK	
community	V#	White NPC (Lava)	Conflict	
community	VE	Valen Expansion	OK	
community	VX	Varshoon (Lava)	Conflict	
community	WQ	CoI: The White Queen (Lava)	OK	
community	X#	BG1 NPC Project	OK	
community	xxx	The Dragon's Call	OK, dynamic	xxx is the area code for where the file is placed
community	YRX	Yoshimo Romance (Lava)	Conflict	
community	YX	Yvette Romance (Lava)	OK	
community	_	BGTutu file naming prefix	OK, protected	
personal	!B	Tash	OK	
personal	!I	nowaru	OK	
personal	!K	Kev	OK	
personal	!N	Nubad	OK	
personal	!S	Saradas	OK	
personal	!W	webba84	OK	
personal	!x	KenTeamBG	OK, protected, dynamic	x is a number or letter
personal	!_	JohnBob	OK	on behalf of Incrementis from Gibberlings3
personal	#!	Icendoan	OK	
personal	#-	miked2681	OK	
personal	#A	Aeryes	OK	
personal	#B	Ripper	OK	
personal	#C	Isaya	OK	
personal	#D	Druss	OK	
personal	#E	Isina	OK	
personal	#F	muffin-tacos	OK	
personal	#G	Salk	OK	
personal	#H	Hoppy	OK	
personal	#I	Il3	OK	
personal	#J	Jab	OK	
personal	#K	Kamui2040	OK	
